# data from ifeffit
#------------------------
#   energy    j0        j         xmu
  7826.1778        91685.500        65610.100       0.33463459
  7830.3275        91206.500        65571.100       0.32999112
  7834.4821        90720.500        65520.100       0.32542639
  7838.6416        90230.500        65462.100       0.32089616
  7842.8059        89653.500        65331.100       0.31648405
  7846.9752        89103.500        65226.100       0.31193892
  7851.1493        88682.500        65221.100       0.30727954
  7855.3283        88124.500        65107.100       0.30271698
  7859.5122        87741.500        65118.100       0.29819245
  7863.7010        87199.500        64985.100       0.29404058
  7867.8947        86666.500        64899.100       0.28923366
  7872.0934        86225.500        64851.100       0.28487208
  7876.2970        85631.500        64675.100       0.28067693
  7880.5056        85153.500        64585.100       0.27647178
  7884.7191        85568.500        65295.100       0.27040023
  7888.9375        84603.500        64757.100       0.26733229
  7893.1610        84023.500        64608.100       0.26275673
  7897.3894        83590.500        64558.100       0.25836428
  7901.6228        83136.500        64491.100       0.25395661
  7905.8612        82633.500        64370.100       0.24976593
  7910.1046        82245.500        64348.100       0.24540127
  7914.3530        81725.500        64237.100       0.24078515
  7918.6065        81313.500        64194.100       0.23640075
  7922.8649        80805.500        64054.100       0.23231699
  7927.1285        80353.500        63986.100       0.22776978
  7931.3970        79832.500        63842.100       0.22351784
  7935.6706        79365.500        63745.100       0.21917145
  7939.9493        79011.500        63731.100       0.21492074
  7944.2331        78577.500        63664.100       0.21046457
  7948.5219        78134.500        63576.100       0.20619409
  7952.8159        77582.500        63402.100       0.20184490
  7957.1149        77163.500        63327.100       0.19761319
  7961.4190        76736.500        63247.100       0.19332820
  7965.7283        76341.500        63188.100       0.18910070
