# data: r, chi, fit, path1, path2
#------------------------
#   r         chir_mag       chir_mag      chir_mag        chir_mag        chir_re       chir_re
  6.5654378       0.60910782E-01   0.65295099E-03   0.53466335E-03   0.11955985E-02   0.15209367E-01   0.41487022E-03
  6.5961174       0.56985958E-01   0.67158010E-03   0.53111611E-03   0.12173123E-02   0.31473332E-01   0.50700992E-03
  6.6267970       0.52378858E-01   0.69880779E-03   0.52311852E-03   0.12338235E-02   0.41549585E-01   0.60070011E-03
  6.6574766       0.47401454E-01   0.72916152E-03   0.51167965E-03   0.12426175E-02   0.44899674E-01   0.68780143E-03
  6.6881562       0.42360497E-01   0.75547192E-03   0.49839975E-03   0.12435637E-02   0.42360497E-01   0.74982806E-03
  6.7188359       0.37504235E-01   0.77259505E-03   0.48525976E-03   0.12388026E-02   0.35509453E-01   0.76823608E-03
  6.7495155       0.32988864E-01   0.77924397E-03   0.47433664E-03   0.12311089E-02   0.26018129E-01   0.73451222E-03
  6.7801951       0.28878843E-01   0.77769812E-03   0.46753125E-03   0.12217631E-02   0.15315551E-01   0.65242478E-03
  6.8108747       0.25184877E-01   0.77190698E-03   0.46637367E-03   0.12093264E-02   0.46150005E-02   0.53193953E-03
  6.8415543       0.21924839E-01   0.76490518E-03   0.47190938E-03   0.11901621E-02  -0.49015226E-02   0.38141099E-03
  6.8722339       0.19176391E-01   0.75686712E-03   0.48461903E-03   0.11603653E-02  -0.12028426E-01   0.20558359E-03
  6.9029135       0.17083575E-01   0.74493864E-03   0.50433865E-03   0.11179139E-02  -0.15756432E-01   0.11055359E-04
  6.9335932       0.15788425E-01   0.72483558E-03   0.53021424E-03   0.10639105E-02  -0.15657155E-01  -0.18648607E-03
  6.9642728       0.15313324E-01   0.69306681E-03   0.56075963E-03   0.10023850E-02  -0.12144278E-01  -0.36117684E-03
  6.9949524       0.15515037E-01   0.64856858E-03   0.59404260E-03   0.93876165E-03  -0.63628857E-02  -0.48502928E-03
  7.0256320       0.16192039E-01   0.59320524E-03   0.62794748E-03   0.87766474E-03   0.29745392E-03  -0.54024935E-03
  7.0563116       0.17236165E-01   0.53117963E-03   0.66042370E-03   0.82121142E-03   0.67887937E-02  -0.52695786E-03
  7.0869912       0.18684985E-01   0.46766180E-03   0.68964965E-03   0.76890254E-03   0.12704527E-01  -0.46081599E-03
  7.1176709       0.20651623E-01   0.40709383E-03   0.71409003E-03   0.71925788E-03   0.18073373E-01  -0.36292486E-03
  7.1483505       0.23198632E-01   0.35184273E-03   0.73247340E-03   0.67204518E-03   0.22776826E-01  -0.25008636E-03
  7.1790301       0.26252034E-01   0.30199246E-03   0.74374447E-03   0.62948739E-03   0.26013846E-01  -0.13235473E-03
  7.2097097       0.29605191E-01   0.25662718E-03   0.74704639E-03   0.59545317E-03   0.26258227E-01  -0.17999292E-04
  7.2403893       0.32982933E-01   0.21599700E-03   0.74176369E-03   0.57290795E-03   0.21862418E-01   0.80459819E-04
  7.2710689       0.36113139E-01   0.18330630E-03   0.72762043E-03   0.56148594E-03   0.12035632E-01   0.14606061E-03
  7.3017486       0.38778712E-01   0.16440861E-03   0.70479691E-03   0.55754363E-03  -0.23541165E-02   0.16436378E-03
  7.3324282       0.40845811E-01   0.16326846E-03   0.67401723E-03   0.55691769E-03  -0.18646233E-01   0.13215344E-03
  7.3631078       0.42271688E-01   0.17675305E-03   0.63657270E-03   0.55803096E-03  -0.33056336E-01   0.60534193E-04
