# data from ifeffit
#------------------------
#   r         chir_mag       chir_mag      chir_re       chir_re
  7.5165059       0.43212236E-01   0.15874973E-03  -0.13682574E-02  -0.48382912E-04
  7.5471855       0.42757154E-01   0.18625422E-03   0.18205494E-01   0.11172846E-04
  7.5778651       0.42342524E-01   0.21540974E-03   0.33555855E-01   0.94588223E-04
  7.6085447       0.41961133E-01   0.24857984E-03   0.41267248E-01   0.18582556E-03
  7.6392243       0.41561265E-01   0.28740338E-03   0.39880443E-01   0.26884331E-03
  7.6699039       0.41066723E-01   0.33292365E-03   0.30278593E-01   0.33278410E-03
  7.7005836       0.40405850E-01   0.38597783E-03   0.15280874E-01   0.37166899E-03
  7.7312632       0.39539083E-01   0.44688210E-03  -0.13963923E-02   0.38012806E-03
  7.7619428       0.38473894E-01   0.51444635E-03  -0.16342486E-01   0.34999992E-03
  7.7926224       0.37259521E-01   0.58518914E-03  -0.27294795E-01   0.27191531E-03
  7.8233020       0.35960659E-01   0.65349149E-03  -0.33342183E-01   0.14178208E-03
  7.8539816       0.34618700E-01   0.71270227E-03  -0.34597555E-01  -0.32290222E-04
  7.8846612       0.33218544E-01   0.75669360E-03  -0.31716471E-01  -0.22816697E-03
  7.9153409       0.31681448E-01   0.78129153E-03  -0.25613822E-01  -0.41534246E-03
  7.9460205       0.29894425E-01   0.78514684E-03  -0.17455256E-01  -0.56536551E-03
  7.9767001       0.27770425E-01   0.76978751E-03  -0.87043895E-02  -0.66111681E-03
  8.0073797       0.25324791E-01   0.73880457E-03  -0.93367012E-03  -0.70000376E-03
  8.0380593       0.22756615E-01   0.69641819E-03   0.46785375E-02  -0.69044903E-03
  8.0687389       0.20518286E-01   0.64603280E-03   0.79090018E-02  -0.64535865E-03
  8.0994186       0.19289165E-01   0.58961050E-03   0.96814467E-02  -0.57740508E-03
  8.1300982       0.19660335E-01   0.52845344E-03   0.11622801E-01  -0.49838005E-03
  8.1607778       0.21635537E-01   0.46528331E-03   0.15129597E-01  -0.42090842E-03
  8.1914574       0.24624376E-01   0.40674033E-03   0.20463485E-01  -0.35877821E-03
  8.2221370       0.27909744E-01   0.36439258E-03   0.26441277E-01  -0.32364019E-03
  8.2528166       0.30948456E-01   0.35027233E-03   0.30940071E-01  -0.31951783E-03
  8.2834963       0.33426171E-01   0.36608491E-03   0.31923866E-01  -0.33928272E-03
  8.3141759       0.35234341E-01   0.39972065E-03   0.28372354E-01  -0.36658922E-03
  8.3448555       0.36432984E-01   0.43540087E-03   0.20588601E-01  -0.38305641E-03
  8.3755351       0.37199297E-01   0.46239119E-03   0.98114357E-02  -0.37656561E-03
  8.4062147       0.37754186E-01   0.47671383E-03  -0.24671504E-02  -0.34551524E-03
  8.4368943       0.38273140E-01   0.47972773E-03  -0.14928948E-01  -0.29664538E-03
  8.4675739       0.38809769E-01   0.47562844E-03  -0.26333337E-01  -0.23857208E-03
  8.4982536       0.39268613E-01   0.46847186E-03  -0.35127962E-01  -0.17603229E-03
  8.5289332       0.39441158E-01   0.45973327E-03  -0.39315498E-01  -0.10889620E-03
  8.5596128       0.39082828E-01   0.44773792E-03  -0.36993139E-01  -0.36051802E-04
  8.5902924       0.37993725E-01   0.42922349E-03  -0.27457769E-01   0.39587388E-04
  8.6209720       0.36077746E-01   0.40174110E-03  -0.12224298E-01   0.10947928E-03
  8.6516516       0.33372850E-01   0.36537422E-03   0.48410806E-02   0.16294325E-03
  8.6823313       0.30055598E-01   0.32313147E-03   0.18651636E-01   0.19326326E-03
  8.7130109       0.26425039E-01   0.28007023E-03   0.24917111E-01   0.20172584E-03
  8.7436905       0.22866640E-01   0.24141266E-03   0.22058366E-01   0.19640792E-03
  8.7743701       0.19785715E-01   0.21019416E-03   0.11981180E-01   0.18652723E-03
  8.8050497       0.17490313E-01   0.18584367E-03  -0.75467305E-03   0.17653337E-03
  8.8357293       0.16042439E-01   0.16527785E-03  -0.10972802E-01   0.16423774E-03
  8.8664090       0.15203876E-01   0.14577738E-03  -0.15093642E-01   0.14410163E-03
  8.8970886       0.14578712E-01   0.12702299E-03  -0.12454399E-01   0.11284274E-03
  8.9277682       0.13823971E-01   0.11105176E-03  -0.52059592E-02   0.72869784E-04
  8.9584478       0.12759172E-01   0.10066006E-03   0.29809521E-02   0.30945668E-04
  8.9891274       0.11375268E-01   0.97530139E-04   0.86340224E-02  -0.66476962E-05
  9.0198070       0.98174163E-02   0.10183738E-03   0.98047248E-02  -0.38407888E-04
  9.0504866       0.83922696E-02   0.11322815E-03   0.65475532E-02  -0.67854199E-04
  9.0811663       0.75808628E-02   0.13076375E-03   0.58363623E-03  -0.99532832E-04
  9.1118459       0.78498440E-02   0.15192967E-03  -0.55101398E-02  -0.13407405E-03
  9.1425255       0.92119844E-02   0.17274270E-03  -0.92116809E-02  -0.16641108E-03
  9.1732051       0.11270142E-01   0.18908633E-03  -0.88262330E-02  -0.18877987E-03
  9.2038847       0.13629648E-01   0.19827981E-03  -0.40099253E-02  -0.19629010E-03
  9.2345643       0.16019915E-01   0.20027987E-03   0.40423896E-02  -0.19073438E-03
  9.2652440       0.18251603E-01   0.19811639E-03   0.12851373E-01  -0.17958611E-03
  9.2959236       0.20178319E-01   0.19688512E-03   0.19392468E-01  -0.17084054E-03
  9.3266032       0.21681907E-01   0.20076393E-03   0.21164245E-01  -0.16758129E-03
  9.3572828       0.22670829E-01   0.20973294E-03   0.17194056E-01  -0.16637370E-03
  9.3879624       0.23083800E-01   0.21959020E-03   0.85046955E-02  -0.16062364E-03
  9.4186420       0.22894629E-01   0.22526984E-03  -0.22438714E-02  -0.14621248E-03
  9.4493217       0.22116096E-01   0.22405078E-03  -0.11820733E-01  -0.12500854E-03
  9.4800013       0.20801405E-01   0.21697853E-03  -0.17697847E-01  -0.10357897E-03
