# data from ifeffit
#------------------------
#   x1        y1        x2        y2
  2.4263856        1.2138704        2.4534668        1.5950412
  2.4141235        1.2079840        2.4457157        1.5913203
  2.4018647        1.2021369        2.4379666        1.5876242
  2.3896095        1.1963292        2.4302199        1.5839530
  2.3773585        1.1905612        2.4224758        1.5803069
  2.3651122        1.1848330        2.4147346        1.5766860
  2.3528709        1.1791450        2.4069967        1.5730905
  2.3406351        1.1734973        2.3992622        1.5695205
  2.3284054        1.1678901        2.3915315        1.5659761
  2.3161821        1.1623236        2.3838049        1.5624574
  2.3039657        1.1567981        2.3760827        1.5589646
  2.2917567        1.1513138        2.3683651        1.5554979
  2.2795556        1.1458708        2.3606526        1.5520572
  2.2673627        1.1404694        2.3529452        1.5486429
  2.2551786        1.1351098        2.3452434        1.5452550
  2.2430038        1.1297921        2.3375474        1.5418936
  2.2308386        1.1245167        2.3298575        1.5385588
  2.2186835        1.1192836        2.3221741        1.5352509
  2.2065391        1.1140930        2.3144973        1.5319698
  2.1944056        1.1089452        2.3068275        1.5287158
  2.1822837        1.1038404        2.2991650        1.5254890
  2.1701738        1.0987788        2.2915101        1.5222894
  2.1580762        1.0937605        2.2838630        1.5191172
  2.1459916        1.0887857        2.2762240        1.5159726
  2.1339202        1.0838546        2.2685934        1.5128555
  2.1218627        1.0789675        2.2609716        1.5097663
  2.1098194        1.0741244        2.2533588        1.5067049
  2.0977907        1.0693256        2.2457553        1.5036714
  2.0857772        1.0645713        2.2381613        1.5006661
  2.0737794        1.0598615        2.2305772        1.4976890
  2.0617975        1.0551966        2.2230032        1.4947402
  2.0498322        1.0505767        2.2154397        1.4918199
  2.0378838        1.0460019        2.2078868        1.4889281
  2.0259528        1.0414725        2.2003450        1.4860649
  2.0140396        1.0369886        2.1928145        1.4832305
  2.0021448        1.0325503        2.1852955        1.4804250
