# data from ifeffit
#------------------------
#   k         e00       e01       e02
  17.800000      -0.11032384E-01  -0.70719992E-01  -0.22924235E-01
  17.850000       0.16942786E-01  -0.45534902E-01  -0.33606973E-01
  17.900000      -0.71320583E-02  -0.65749282E-01  -0.26799606E-01
  17.950000      -0.69943005E-02  -0.38913589E-01  -0.30098942E-01
  18.000000      -0.60101953E-02  -0.67803855E-01  -0.12482166E-01
  18.050000       0.98025798E-02  -0.64570635E-01  -0.25104654E-01
  18.100000      -0.21414663E-03  -0.50901955E-01  -0.11677329E-01
  18.150000       0.15478619E-01  -0.44884210E-01  -0.25562120E-01
  18.200000       0.13547070E-01  -0.60704041E-01  -0.23043923E-01
  18.250000      -0.21927774E-02  -0.69996465E-01  -0.28374543E-01
  18.300000       0.45975577E-02  -0.63028538E-01  -0.42035886E-01
  18.350000       0.99851211E-02  -0.44424239E-01  -0.31321793E-01
  18.400000       0.13825237E-01  -0.39967128E-01  -0.30015408E-03
  18.450000      -0.39363417E-02  -0.63277783E-01  -0.14672606E-01
  18.500000      -0.10036422E-01  -0.60220990E-01   0.30034329E-02
  18.550000       0.45024323E-03  -0.62871911E-01  -0.16883825E-01
  18.600000       0.12809832E-01  -0.54483182E-01  -0.15286824E-01
  18.650000       0.13552217E-01  -0.70098572E-01  -0.38430581E-01
  18.700000      -0.30372348E-02  -0.46226676E-01  -0.36470373E-01
  18.750000      -0.55922862E-02  -0.65490244E-01  -0.43613715E-01
  18.800000       0.81003285E-02  -0.70633920E-01  -0.14216017E-01
  18.850000       0.37783353E-01  -0.31384650E-01   0.68053833E-02
  18.900000       0.23022906E-01  -0.59519162E-01  -0.23676452E-01
  18.950000      -0.29276632E-02  -0.44897912E-01  -0.46196647E-01
  19.000000       0.12940414E-01  -0.49702817E-01  -0.28840607E-01
  19.050000      -0.10377423E-01  -0.68230580E-01  -0.27436907E-01
  19.100000      -0.92189597E-02  -0.68063508E-01  -0.24111819E-01
