# data from ifeffit
#------------------------
#   k         chik      hann3      kaiser3      kaiser5      welch3      parzen3      sine3
  12.300000      -0.47903157E-03   0.97552816       0.60955399       0.50054947       0.98999996       0.89999979       0.70054304
  12.350000      -0.12858783E-01   0.96679010       0.60191728       0.49186995       0.98638884       0.88333313       0.69391948
  12.400000      -0.36592448E-01   0.95677260       0.59425590       0.48320873       0.98222217       0.86666646       0.68723669
  12.450000      -0.42584783E-01   0.94550312       0.58657165       0.47456858       0.97749994       0.84999980       0.68049521
  12.500000      -0.32217917E-01   0.93301255       0.57886633       0.46595225       0.97222216       0.83333314       0.67369564
  12.550000      -0.27864343E-01   0.91933512       0.57114175       0.45736243       0.96638882       0.81666648       0.66683856
  12.600000      -0.37120918E-01   0.90450832       0.56339970       0.44880182       0.95999993       0.79999981       0.65992453
  12.650000      -0.41026237E-01   0.88857280       0.55564198       0.44027304       0.95305548       0.78333315       0.65295417
  12.700000      -0.32387366E-01   0.87157222       0.54787039       0.43177872       0.94555547       0.76666649       0.64592806
  12.750000      -0.20305489E-01   0.85355320       0.54008673       0.42332141       0.93749991       0.74999983       0.63884681
  12.800000       0.12937201E-01   0.83456510       0.53229277       0.41490365       0.92888880       0.73333316       0.63171101
  12.850000       0.52356489E-01   0.81465999       0.52449032       0.40652792       0.91972213       0.71666650       0.62452127
  12.900000       0.56827508E-01   0.79389242       0.51668115       0.39819667       0.90999990       0.69999984       0.61727822
  12.950000       0.56151085E-01   0.77231931       0.50886703       0.38991232       0.89972212       0.68333317       0.60998247
  13.000000       0.52032929E-01   0.74999979       0.50104974       0.38167723       0.88888879       0.66666651       0.60263464
  13.050000       0.46921287E-01   0.72699504       0.49323106       0.37349371       0.87749989       0.64999985       0.59523535
  13.100000       0.31038825E-01   0.70336811       0.48541272       0.36536404       0.86555545       0.63333319       0.58778525
  13.150000       0.27575862E-01   0.67918376       0.47759650       0.35729047       0.85305545       0.61666652       0.58028497
  13.200000       0.19702204E-01   0.65450829       0.46978412       0.34927516       0.83999989       0.59999986       0.57273514
  13.250000       0.10487193E-01   0.62940932       0.46197734       0.34132025       0.82638878       0.58333320       0.56513641
