# data from ifeffit
#------------------------
#   k         chi       chi       chix
  18.500000      -0.35082088E-01   0.12828376        1.0932017
  18.550000      -0.61601015E-01   0.12302885        1.0614278
  18.600000      -0.84318383E-01   0.11078040        1.0264620
  18.650000      -0.10212997       0.92400983E-01   0.99027102
  18.700000      -0.11421271       0.69089133E-01   0.95487642
  18.750000      -0.12006167       0.42302481E-01   0.92224081
  18.800000      -0.11950943       0.13667531E-01   0.89415810
  18.850000      -0.11272739      -0.15118353E-01   0.87215425
  18.900000      -0.10020926      -0.42386892E-01   0.85740385
  18.950000      -0.82737982E-01  -0.66594930E-01   0.85066709
  19.000000      -0.61338237E-01  -0.86411069E-01   0.85225069
  19.050000      -0.37217338E-01  -0.10078808       0.86199459
  19.100000      -0.11697850E-01  -0.10901718       0.87928497
  19.150000       0.13854313E-01  -0.11076154       0.90309277
  19.200000       0.38102443E-01  -0.10606733       0.93203511
  19.250000       0.59808419E-01  -0.95352394E-01   0.96445602
  19.300000       0.77895350E-01  -0.79373615E-01   0.99852174
  19.350000       0.91500330E-01  -0.59175308E-01    1.0323250
  19.400000       0.10001477      -0.36022160E-01    1.0639926
  19.450000       0.10311045      -0.11320898E-01    1.0917896
  19.500000       0.10075034       0.13464475E-01    1.1142148
  19.550000       0.93183743E-01   0.36898829E-01    1.1300826
  19.600000       0.80926739E-01   0.57658392E-01    1.1385851
  19.650000       0.64728903E-01   0.74604872E-01    1.1393338
  19.700000       0.45528649E-01   0.86847115E-01    1.1323758
  19.750000       0.24399675E-01   0.93786986E-01    1.1181867
  19.800000       0.24915551E-02   0.95147201E-01    1.0976388
  19.850000      -0.19032256E-01   0.90979895E-01    1.0719476
  19.900000      -0.39055703E-01   0.81655892E-01    1.0426002
  19.950000      -0.56567483E-01   0.67835734E-01    1.0112683
  20.000000      -0.70711566E-01   0.50424604E-01   0.97971304
